TimeStamp,Power(MW),Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity(w/m2),Solar Zenith Angle(w/m2),Global Horizontal UV Irradiance (295-385nm)(m/s)
2009-08-31,6.426209677419355,27.606586021505375,69.61559139784946,335.4569892473118,73.88853494623656,80.52920698924731,12.025433198924732
2009-09-30,4.92,23.711250000000003,61.74305555555556,310.24861111111113,81.57422222222223,88.17370833333334,8.19305
2009-10-31,3.881451612903226,16.91706989247312,37.090053763440864,329.14381720430106,87.60198924731182,96.39861559139786,5.544789919354838
2009-11-30,3.8515277777777777,13.40125,30.381944444444443,310.1375,85.22040277777778,102.97684722222222,5.782459305555556
2009-12-31,2.6141129032258066,5.023790322580646,27.826612903225808,296.0712365591398,86.07103494623655,105.89721774193548,3.8564508064516128
2010-01-31,3.319220430107527,5.046370967741935,27.751344086021504,316.55645161290323,84.8963440860215,104.2972311827957,4.658385752688172
2010-02-28,3.8842261904761903,4.761904761904762,37.544642857142854,339.6622023809524,84.66705357142857,98.89467261904763,5.439572321428572
2010-03-31,5.761693548387097,11.060483870967742,47.52284946236559,357.4502688172043,81.34356182795699,91.10319892473117,9.321665053763441
2010-04-30,6.652222222222223,18.290416666666665,62.513888888888886,361.9638888888889,78.51406944444444,82.892375,11.189920416666666
2010-05-31,7.041129032258065,25.22043010752688,68.39784946236558,371.03360215053766,67.65237903225807,76.69185483870967,13.060817741935484
2010-06-30,6.942222222222222,29.351944444444445,70.62638888888888,368.20694444444445,69.46988888888889,73.98520833333333,12.905778472222222
2010-07-31,6.474059139784946,29.090591397849465,67.31854838709677,362.1975806451613,73.05943548387097,75.31279569892473,12.02660255376344
2010-08-31,6.64005376344086,31.78991935483871,67.69220430107526,338.65725806451616,57.27469086021506,80.477311827957,12.668729166666667
2010-09-30,5.813055555555555,27.124305555555555,52.852777777777774,334.8847222222222,64.04658333333333,88.10795833333334,10.307100694444445
2010-10-31,5.528897849462366,20.42325268817204,36.581989247311824,345.3467741935484,53.36971774193548,96.33768817204302,9.13449690860215
2010-11-30,4.035833333333334,13.360555555555557,30.28472222222222,310.7680555555556,75.32466666666667,102.93666666666665,5.148675555555556
2010-12-31,3.6336021505376346,8.140860215053763,28.233870967741936,294.99059139784947,71.90655913978495,105.89107526881722,4.598362768817204
2011-01-31,3.525,5.3345430107526886,28.077956989247312,315.4690860215054,77.7036559139785,104.32666666666665,4.764756317204301
2011-02-28,4.314285714285714,8.76875,39.151785714285715,333.49107142857144,79.99892857142856,98.95116071428572,5.611476785714286
2011-03-31,6.051612903225806,15.446236559139784,49.736559139784944,347.5806451612903,72.16224462365591,91.17030913978496,9.105201478494624
2011-04-30,6.7175,22.20861111111111,73.44027777777778,335.0083333333333,60.81490277777778,82.95169444444444,11.691218472222221
2011-05-31,7.057258064516129,23.42983870967742,85.8736559139785,337.5860215053763,66.04619623655914,76.72838709677418,12.796492338709678
2011-06-30,7.18875,31.298194444444444,74.5375,362.4875,53.712625,73.9916388888889,14.591622361111112
2011-07-31,6.892876344086022,32.824327956989244,72.31048387096774,353.06586021505376,50.86194892473118,75.287311827957,13.728271370967741
2011-08-31,6.394489247311828,34.61048387096774,70.9260752688172,332.9489247311828,41.181317204301074,80.42513440860215,12.552878494623656
2011-09-30,5.74,26.72041666666667,56.80833333333333,334.5527777777778,45.24311111111111,88.04180555555556,11.158360694444443
2011-10-31,5.438575268817204,20.00201612903226,36.598118279569896,342.8467741935484,55.52870967741936,96.27469086021505,8.804005376344087
2011-11-30,4.206944444444445,14.418194444444445,31.10972222222222,308.64722222222224,72.82936111111111,102.89570833333333,5.383546388888889
2011-12-31,2.7486559139784945,8.209274193548387,28.801075268817204,287.76747311827955,83.83935483870968,105.88397849462366,3.5990645161290327
2012-01-31,3.752284946236559,9.656586021505376,28.865591397849464,307.9731182795699,82.57697580645161,104.35743279569894,5.179480510752688
2012-02-29,4.228720238095238,10.636309523809524,36.43452380952381,333.8392857142857,83.71919642857144,99.00821428571429,6.061127678571428
2012-03-31,5.5052419354838715,17.482795698924733,45.25806451612903,354.2016129032258,82.57280913978494,90.9592069892473,8.143430913978495
2012-04-30,6.600833333333334,19.953333333333333,67.35138888888889,349.8222222222222,80.77943055555556,82.76611111111112,11.349725
2012-05-31,6.881182795698925,24.35201612903226,73.90994623655914,359.48924731182797,73.63393817204302,76.61481182795698,13.127790994623656
2012-06-30,6.911111111111111,28.141805555555557,74.17777777777778,363.6638888888889,64.92273611111112,73.97423611111111,13.592056805555556
